date,dist_m,mov_s,note
2024-05-24,7510.84,2463,
2024-05-26,7519.92,1915,
2024-05-29,5508.36,1448,
2024-06-01,15025.2,4163,
2024-06-06,7027.46,2290,
2024-06-08,101100,42314,BACKYARD_Macyard2024_DNF
2024-06-12,4082.99,1207,
2024-06-13,4241.67,1200,
2024-06-16,12006.3,3492,
2024-06-17,6013.99,1895,
2024-06-19,5011.07,1199,
2024-06-19,1359.71,402,
2024-06-20,6020.26,1676,
2024-06-23,7523.16,2209,
2024-06-25,7566.21,2041,
2024-06-26,1336,461,
2024-06-26,5276.12,1115,TRACK
2024-06-27,5013.64,1591,
2024-06-29,7522.6,2561,
2024-07-02,10006.8,2864,
2024-07-03,6502.73,1836,
2024-07-04,3521.58,1080,
2024-07-04,2509.35,809,
2024-07-07,15023.4,4394,
2024-07-12,11006.2,5220,TRAIL
2024-07-12,7176.98,2445,
2024-07-13,30005.6,14090,TRAIL1051m
2024-07-16,6507.11,2101,
2024-07-17,7513.55,1768,TRACK
2024-07-18,5516.38,1612,
2024-07-20,10009.6,3257,
2024-07-21,2760.91,829,
2024-07-21,2012.23,538,
2024-07-22,10018.5,2580,
2024-07-23,3490.73,1249,
2024-07-23,7005.87,1911,TRACK
2024-07-25,6023.96,1848,
2024-07-27,14506,5011,
2024-07-28,5340.19,1722,
2024-07-30,5045.59,1244,
2024-08-01,45108.5,14679,LONG45k_birthday
2024-08-05,6006.95,1797,
2024-08-07,10723.9,2902,
2024-08-10,5932.62,1812,
2024-08-11,13007.7,3751,
2024-08-13,7660.88,2555,
2024-08-14,6020.51,1750,
2024-08-15,12047.2,3050,
2024-08-16,5702.9,1880,
2024-08-17,18518.4,6762,
2024-08-19,12012.4,3600,
2024-08-20,4399.24,1443,
2024-08-20,6595.4,1719,THRESHOLD
2024-08-22,7033.52,1869,
2024-08-24,10232.8,3307,
2024-08-25,17337.3,5290,
2024-08-25,4003.32,1218,
2024-08-27,12701.9,3736,THRESHOLD
2024-08-28,10050,3207,
2024-08-31,24007.6,7049,LONG24k
2024-09-03,15017.2,4564,THRESHOLD
2024-09-05,10022.5,3535,
2024-09-06,5878.36,1703,
2024-09-08,21139.2,6819,
2024-09-09,10017.9,2835,
2024-09-10,5037.73,1304,
2024-09-11,15006.4,4459,
2024-09-14,30578.3,9822,LONG30_6k
2024-09-15,3504.4,1133,
2024-09-17,16211.2,4718,THRESHOLD
2024-09-18,10033.6,2742,
2024-09-21,22370.2,6686,
2024-09-22,8186.56,2516,
2024-09-24,14650.8,4233,THRESHOLD
2024-09-24,3312.26,1151,
2024-09-25,6007.75,1975,
2024-09-26,10591.4,2704,
2024-09-29,22137.7,5997,
2024-10-01,4496.99,1522,
2024-10-01,13020.1,4155,
2024-10-03,10010.3,2957,
2024-10-05,13016.3,4046,
2024-10-06,26111.7,8422,
2024-10-08,15159.9,4098,
2024-10-10,15061.9,4862,
2024-10-11,22031.4,6491,
2024-10-12,5452.81,1804,
2024-10-12,4016.83,1207,
2024-10-14,10022.5,2650,
2024-10-16,7527.08,2412,
